[2025-02-03 14:43:07.888250] [0x0000007f9f196010] [MocapTag] [0x00005057] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 14:43:08.128609] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [79] , 1.12666, -0.00956591, -0.190928, -0.143408, -0.999862, -0.00360299, 0.0139683, 0.00829167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.130831] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [80] , 1.12666, -0.00956591, -0.190928, -0.143408, -0.999862, -0.00360299, 0.0139683, 0.00829167, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.133402] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [81] , 1.12666, -0.00958064, -0.190932, -0.1434, -0.999862, -0.00361346, 0.013946, 0.00830612, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.138239] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [82] , 1.13664, -0.00958064, -0.190932, -0.1434, -0.999862, -0.00361346, 0.013946, 0.00830612, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.140943] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [83] , 1.13664, -0.00958064, -0.190932, -0.1434, -0.999862, -0.00361346, 0.013946, 0.00830612, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.143535] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [84] , 1.13664, -0.0095899, -0.19094, -0.143375, -0.999862, -0.00361994, 0.0138906, 0.00830383, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.146403] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [85] , 1.13664, -0.0095899, -0.19094, -0.143375, -0.999862, -0.00361994, 0.0138906, 0.00830383, 0, 0, 0.0025415, 0, 0, 0, 
[2025-02-03 14:43:08.149038] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [86] , 1.14666, -0.0095899, -0.19094, -0.143375, -0.999862, -0.00361994, 0.0138906, 0.00830383, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.153356] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [87] , 1.14666, -0.00959229, -0.190941, -0.143357, -0.999864, -0.00359624, 0.0138266, 0.00828107, 0, 0, 0, 0, 0, 0, 
[2025-02-03 14:43:08.156188] [0x0000007f8e6fd9a0] [MocapTag] [0x00005057] [88] , 1.14666, -0.00959229, -0.190941, -0.143357, -0.999864, -0.00359624, 0.0138266, 0.00828107, 0, 0, 0, 0, 0, 0, 
