[2025-02-03 17:53:05.855926] [0x0000007f808d0010] [MocapTag] [0x00005f2f] [2] , Controller time [s], Mocap Position x [m], Mocap Position y [m], Mocap Position z [m], Mocap Quaternion q0 [-], Mocap Quaternion q1 [-], Mocap Quaternion q2 [-], Mocap Quaternion q3 [-], Mocap Velocity x [m/s], Mocap Velocity y [m/s], Mocap Velocity z [m/s], Mocap Angular velocity x [rad/s], Mocap Angular velocity y [rad/s], Mocap Angular velocity z [rad/s], 
[2025-02-03 17:53:06.122536] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [90] , 1.11431, -0.0307982, -0.203039, -0.149355, -0.999698, 0.0059266, 0.00995154, 0.0216735, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.125412] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [91] , 1.12426, -0.0308088, -0.203036, -0.149347, -0.999698, 0.00598774, 0.00990861, 0.0216681, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.128062] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [92] , 1.12426, -0.0308088, -0.203036, -0.149347, -0.999698, 0.00598774, 0.00990861, 0.0216681, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.130781] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [93] , 1.12426, -0.0308088, -0.203036, -0.149347, -0.999698, 0.00598774, 0.00990861, 0.0216681, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.134886] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [94] , 1.13434, -0.0308013, -0.203029, -0.149343, -0.999698, 0.00595028, 0.00992506, 0.0216756, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.138005] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [95] , 1.13434, -0.0308013, -0.203029, -0.149343, -0.999698, 0.00595028, 0.00992506, 0.0216756, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.140546] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [96] , 1.13434, -0.0308013, -0.203029, -0.149343, -0.999698, 0.00595028, 0.00992506, 0.0216756, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.143064] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [97] , 1.13434, -0.0307903, -0.203039, -0.149346, -0.999698, 0.00591911, 0.00991705, 0.0216819, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.145866] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [98] , 1.14431, -0.0307903, -0.203039, -0.149346, -0.999698, 0.00591911, 0.00991705, 0.0216819, 0, 0, 0, 0, 0, 0, 
[2025-02-03 17:53:06.148313] [0x0000007f5fea89a0] [MocapTag] [0x00005f2f] [99] , 1.14431, -0.0307903, -0.203039, -0.149346, -0.999698, 0.00591911, 0.00991705, 0.0216819, 0, 0, 0, 0, 0, 0, 
